 ,Velocity,LanePos,Speed,Steer,Accel,Brake,LongAccel,HeadwayTime,Headwaydist,User,Mode,Speed,Number of Errors,Response Time,Number of Steps
0,11.464075,0.26655000000000006,11.110999999999994,4.032500000000001,0.18250000000000005,0.30355000000000004,0.600525,3.722924999999999,82.33849999999998,1,1,19.56165789473685,0,9.29,4
1,18.122899999999998,0.18510000000000004,10.833224999999995,-12.469999999999999,0.18552500000000002,0.03244999999999999,-0.153975,3.952299999999999,83.419275,1,1,16.48636842105263,0,8.63,4
2,19.172775,0.31884999999999997,18.110824999999995,-7.952500000000001,0.23095,0.010425,0.13017499999999996,1.218175,19.790874999999996,1,1,19.956342105263154,1,8.98,3
3,14.16265,-0.017025,11.444324999999994,-0.475,0.0485,0.0106,-0.34097500000000003,3.312,50.94417499999999,1,1,11.710263157894737,0,3.74,3
4,7.8264,0.229925,11.110999999999994,-15.489999999999998,0.06792499999999999,0.018750000000000003,-0.06720000000000001,5.847625,17.858325,1,1,7.770394736842103,0,2.29,2
5,16.616225000000004,0.026224999999999988,7.222149999999997,-1.395,0.468025,0.004399999999999999,0.49779999999999996,1.73835,16.183024999999997,1,1,16.478026315789474,0,4.29,2
6,13.17023094555873,-0.16765329512894084,24.42999197707784,0.10762177650429745,0.19638510028653197,0.0,0.5495885386819497,56.78549684813744,92.25437191977075,1,2,23.362260319207493,0,4.41,4
7,16.110432664756445,-0.38628137535816626,24.44400000000048,-0.09392550143266441,0.1124538681948434,0.0,-0.030382808022922654,0,0,1,2,34.93964226747386,0,5.17,4
8,16.363024068767917,-0.32289684813753555,24.44400000000048,-1.7856160458452717,0.1378292263610287,0.0,0.07872779369627506,0.713248710601719,12.264649283667625,1,2,38.007719867914105,0,5.4,3
9,17.53299770773638,0.5799650429799423,23.30935014326681,-9.484928366762258,0.23101547277936937,0.0,0.17709742120343838,7.823553581661902,137.47989512893977,1,2,36.8830588882774,0,3.01,3
10,33.55176045845275,-0.011533524355300893,24.44400000000048,0.026532951289399673,0.9042601719197695,0.0,0.5912017191977101,3.552646991404007,107.39363323782246,1,2,36.2678370941111,0,1.75,2
11,35.91555759312323,0.25666017191977114,23.085221776504603,-13.49633237822389,0.6938733524355265,0.0,0.09720630372492849,1.007036103151862,32.733595988538696,1,2,34.75037259218493,1,9.87,2
12,12.954666666666666,0.22920000000000001,11.110999999999995,3.0766666666666667,0.2918000000000001,0.17700000000000002,0.7892666666666666,0,0,1,3,18.90579310344827,0,4.16,4
13,12.299100000000005,0.03653333333333333,11.110999999999995,2.1133333333333337,0.023866666666666665,0.046,-0.6613333333333332,7.2155000000000005,7.277866666666668,1,3,9.164034482758622,0,3.42,4
14,15.376299999999999,-0.18246666666666667,11.110999999999995,-19.67666666666667,0.17863333333333334,0.009433333333333334,0.2905666666666665,0.20393333333333336,1.6267,1,3,15.10155172413793,0,2.54,3
15,15.25003333333333,-0.0025999999999999977,20.88853333333333,-9.613333333333335,0.17736666666666664,0.02366666666666667,0.1027999999999999,1.0557666666666667,18.13936666666667,1,3,16.54648275862069,0,4.34,3
16,14.344033333333336,-0.05343333333333332,15.555333333333325,-1.4933333333333332,0.1743,0.0216,0.18003333333333332,1.7774333333333336,27.346600000000002,1,3,14.982931034482759,0,1.57,2
17,13.732333333333333,0.2676666666666666,11.110999999999995,-17.63000000000001,0.1036,0.026500000000000003,-0.27819999999999995,2.3998000000000004,34.4788,1,3,13.144793103448272,0,2.6,2
18,13.678911764705884,-0.07676470588235293,11.110999999999995,0.3411764705882353,0.2635294117647059,0.01852941176470588,0.7332352941176472,0.819735294117647,18.789852941176466,2,1,13.200259259259258,0,5.09,4
19,15.344176470588236,-0.024264705882352945,11.110999999999995,-15.738235294117644,0.10355882352941176,0.04170588235294118,-0.48782352941176466,0.7672941176470588,18.336705882352945,2,1,19.6082962962963,0,4.58,4
20,19.6555,-0.08770588235294119,14.640323529411766,-5.141176470588237,0.19976470588235298,0.0,0.29076470588235287,0.35055882352941176,3.7052058823529412,2,1,11.583111111111112,0,2.58,3
21,19.83964705882353,-0.31823529411764695,16.99320588235294,-6.608823529411764,0.13599999999999998,0.007911764705882354,-0.2596470588235294,2.1595588235294123,43.959500000000006,2,1,19.694518518518517,0,5.33,3
22,9.29855882352941,-0.03161764705882356,11.110999999999995,1.3558823529411765,0.08382352941176471,0.03741176470588235,-0.2714411764705882,19.98985294117647,15.067470588235294,2,1,16.37233333333333,0,1.36,2
23,4.755237615787357,1.2413616592831325,24.434155457109608,-3.5520741039065533,0.1245360451067259,0.0028477648006443855,0.5190366492146594,0,28.415948852194905,2,1,9.445296296296297,0,3.72,2
24,26.108756343133248,-0.3456528393072891,24.44400000000127,-0.5198952879581155,0.2403137333870333,0.0,0.09603262182843315,0,0,2,2,10.870646070192784,0,5,4
25,23.383076520338385,-0.27694885219492577,24.44400000000127,-6.769472412404312,0.2213129279097852,0.0,0.026548127265404172,0,0,2,2,22.533027681660908,0,5.73,4
26,27.325678211840543,-0.24131051147805052,24.44400000000127,-8.51171969391864,0.3015944422070071,0.0,0.09309786548529973,0,0,2,2,26.264284725654896,0,3.18,3
27,26.2942327829239,0.2980406766008859,24.434155457109608,-0.18022553362867524,0.21905718888441617,0.006317760773258152,-0.41456061216270634,0,0,2,2,28.0420850222442,0,3.05,3
28,11.048102941176468,-0.07164705882352942,11.110999999999994,0.7102941176470586,0.1385294117647059,0.023867647058823528,0.07113235294117658,0.6929264705882353,2.429970588235294,2,2,28.067464656450838,0,14.71,2
